,ubicacion,alternativa,texto,matchType,ubicacionEncontrada,scoreMejorMatch,tipoUbicacionEncontrada,time_ms,truthLocation,truthTypeLocation,foundExactLocation,foundLocationType
0,mercedes#tacuarembo,tacuarembo#mercedes,hola imtransito semaforo esquina tacuarembo esquina mercedes cruzando mercedes mano izquierda quemado foco correspondiente luz verde,cruces_vias,mercedes#tacuarembo,295614.129818,cruces_vias,795.328,True,True,True,True
1,dr-emilio-frugoni#chana,chana#dr-emilio-frugoni,imtransito comomemuevouy mvdtransporte chana esquina frugoni cortada obras,cruces_vias,dr-emilio-frugoni#chana,41490.8512069,cruces_vias,16.133,True,True,True,True
2,palacio-legislativo-edificio-anexo&palacio-legislativo-edificio-anexo,palacio-legislativo-edificio-anexo&palacio-legislativo-edificio-anexo,montevideo ahora choque esquina palacio legislativo,geonames,palacio-legislativo-edificio-anexo&palacio-legislativo-edificio-anexo,6313.37080973,geonames,22.795,True,True,True,True
3,santa-cruz-de-la-sierra#vizcaya,vizcaya#santa-cruz-de-la-sierra,sharito17849631 mvddecide belvederegatos municipioa apaelrefugio montevideoim vizcaya esquina santa cruz sierra,cruces_vias,santa-cruz-de-la-sierra#vizcaya,398009.141125,cruces_vias,39.029,True,True,True,True
4,arenal-grande#colonia,colonia#arenal-grande,hecho historico medicina mundial ciudad montevideo esquina colonia arenal grande casmu 1,cruces_vias,arenal-grande#colonia,173908.941085,cruces_vias,43.14,True,True,True,True
5,areguati#chayos,chayos#areguati,imambiente chdica areguati esquina chayos flor maronas,cruces_vias,areguati#chayos,136128.654545,cruces_vias,16.281,True,True,True,True
6,arenal-grande#colonia,colonia#arenal-grande,placa conmemorativa echo historico medicina mundial uruguay ciudad montevideo esquina colonia arenal grande casmu 1,cruces_vias,arenal-grande#colonia,173908.941085,cruces_vias,48.889,True,True,True,True
7,arenal-grande#colonia,colonia#arenal-grande,oms placa conmemorativa hecho historico medicina mundial uruguay ciudad montevideo esquina colonia arenal grande casmu 1,cruces_vias,arenal-grande#colonia,173908.941085,cruces_vias,55.397,True,True,True,True
8,bv-gral-artigas#av-burgues,av-burgues#bv-gral-artigas,imtransito ahora paso bvar artigas esquina burgues semaforo estacion servicio tambien lampara verde quemada,cruces_vias,bv-gral-artigas#av-burgues,9265.25227686,cruces_vias,84.12,True,True,True,True
9,av-18-de-julio#minas,minas#av-18-de-julio,noche veraniega disfruta bailando aire libre milonga clandestina partir 22 plaza 33 orientales av 18 julio minas montevideo,cruces_vias,av-18-de-julio#minas,41725.0320153,cruces_vias,98.119,True,True,True,True
10,luis-galvani#chapicuy,chapicuy#luis-galvani,lauraraffo favor visite vecindario chapicuy esquina galvani vea trabajadores asentamiento media cuadra avenida general flores verguenza intolerable el olor,cruces_vias,luis-galvani#chapicuy,73244.3298597,cruces_vias,52.697,True,True,True,True
11,benito-aizpurua#minnesota,minnesota#benito-aizpurua,imtransito quiero agradecer trabajo hecho esquina minnesota aizpurua,cruces_vias,benito-aizpurua#minnesota,452790.115787,cruces_vias,15.993,True,True,True,True
12,av-alfredo-arocena#dr-gabriel-otero,dr-gabriel-otero#av-alfredo-arocena,dias frente local reparacion iphone carrasco esquina arocena otero tod s forros estacionan vehiculos vereda cortando paso hablame respeto despues primeros quejarse transito montevideoim imtransito,cruces_vias,av-alfredo-arocena#dr-gabriel-otero,18986.1792144,cruces_vias,78.223,True,True,True,True
13,cerro-de-montevideo&cerro-de-montevideo-el-cerro,cerro-de-montevideo&cerro-de-montevideo-el-cerro,alquiler apto continuacion siti 1 cibils barrio paloma cerro montevideo 2 dor cocina comedor parrillero 13 200 s gastos comunes contaduria anda cocheras economicas llamar lunes viernes 10 20 hrs 2 902 34 82 099 84 50 31,geonames,facultad-de-ciencias-economicas-y-administracion-udelar&facultad-de-ciencias-economicas-y-administracion-udelar,38.2118647633,geonames,20.208,True,True,False,True
14,francisco-llambi#av-gral-rivera,av-gral-rivera#francisco-llambi,montevideoim imtransito aca llambi esquina rivera viven tomando pelo van multar descarga resto explote,cruces_vias,av-gral-rivera#francisco-llambi,3411.87570459,cruces_vias,23.144,True,True,True,True
